Model #,FAB50,FAB32,FAB28,FAB10,FAB5
Status,Active,Active,Active,Active,Active
Description,50's Style Retro Refrigerator,50's Style Retro Refrigerator,50's Style Retro Refrigerator,50's Style Retro Refrigerator,50's Style Retro Refrigerator
Feature #1,Iconic design,Iconic design,Iconic design,Iconic design,Iconic design
Feature #2,Quick Chill glass zones,Frost free freezer,Quick Chill glass zones,Quick Chill glass zones,Vibrant colours
Feature #3,Vibrant colours,Quick Chill glass zones,Vibrant colours,Vibrant colours,Perfect blend of art and functionality
Feature #4,Perfect blend of art and functionality,Vibrant colours,Perfect blend of art and functionality,Perfect blend of art and functionality,
Feature #5,Air plus,Perfect blend of art and functionality,,,
Finish," White, Cream, Silver, Black","Orange, Pastel blue, White, Blue, Black, Pink, Red, Silver, Pastel green, Lime green","Pastel Blue, White, Blue, Black, Cream, Pink, Red, Silver, Pastel green, Lime green, Decorated / Special","Black, Red, Cream","Black, Red, Cream"
Dimensions,804mmW x 1875mmH x 810mmD (includes handle),600mmW x 1926mmH x 720mmD (includes handle),600mmW x 1510mmH x 732mmD (includes handle),543mmW x 960mmH x 632mmD (680mm including handle),404mmW x 730mmH x 520mmD (560mm including handle)
Gross Capacity,"Refrigerator: 362L
Freezer: 107L
Total: 469L","Refrigerator: 229L
Freezer: 75L
Total: 304L","Refrigerator: 222L
Freezer: 26L
Total: 248L",Refrigerator: 135L,Refrigerator: 42L
REFRIGERATOR (Main Compartment) ,,,,,
No. Shelves,3 x Quick chill glass ,"3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover","3 x Quick chill glass
1 x Bottle rack 
1 x Crisper cover","2 x Quick chill glass 
1 x Bottle shelf",2 x adjustable wire shelves
No.Drawers,2 x With glass cover,1 x Crisper drawer,1 x Crisper drawer,,n/a
Lighting,Incandescent,LED,LED,Incandescent,LED
REFRIGERATOR (Inner door) ,,,,,
No. Shelves,"1 x shelf with cover
4 x adjustable with wire support
1 x bottle shelf","1 x shelf with transparent cover
3 x adjustable with wire support
1 x bottle shelf with wire support","1 x shelf with transparent cover
2 x adjustable with wire support
1 x bottle shelf with wire support","1 x shelf with transparent cover
2 x adjustable shelf
1 x bottle shelf ","1 x adjustable shelf with wire supprt
1 x bottle shelf with wire support"
Accessories,"1 x Cheese box
1 x Butter tray",1 x Egg tray,n/a,n/a,n/a
FREEZER,,,,,
No. Shelves,1 x Plastic shelf,n/a,1 x internal compartment (NO shelf),n/a,n/a
No. of drawers,n/a,"2 x plastic drawers
1 x compartments with flap door",n/a,n/a,n/a
Accessories,"1 x Manual ice maker
2 x Ice boxes
1 x Fast-freeze compartment","1 x Ice box
1 x Fast freezing compartment",n/a,n/a,n/a
Defrost,Total Frost Free,Total Frost Free,n/a,n/a,n/a
Performance,,,,,
Energy Consumption,507kWh/year,323kWh/year,246kWh/year,203kWh/year,
Star Rating,2.5 Star,3.5 Star,3.5 Star,2.5 Star,n/a
Noise,43 dBA,41 dBA,39 dBA,37 dBA,
Power,"220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)","220–240V, 50Hz
10A (3-pin plug)"
Warranty,2 years parts and labour,2 years parts and labour,2 years parts and labour,2 years parts and labour,2 years parts and labour
