,,,,,,,,,,,,
,,Classic,,,,,,,,,,
,Model #,CT3029X,CTPA3015X,CPRA315X,CR329X,CTPA1015,CTP1015B,CTP1015N,CTP9015P,CTP9015B,CTP9015N,CTP9015X
,Status,Old,Old,Active,Active,Active,Active,Active,Active,Active,Active,Active
,EAN,N/A,N/A,8017709250263,8017709250270,8017709205522,8017709205515,8017709205508,8017709205454,8017709205478,8017709205461,8017709205485
,Description,"60cm Classic Warming Drawer, 29cm h","60cm Classic Warming Drawer, 15cm h","60cm Classic Warming Drawer, 15cm h","60cm Classic Warming Drawer, 29cm h","60cm Linear Warming Drawer, 15cmH","60cm White Linear Warming Drawer, 15cmH","60cm Black Linear Warming Drawer, 15cmH","60cm Victoria Warming Drawer, 15cm h","60cm Victoria Warming Drawer, 15cm h","60cm Victoria Warming Drawer, 15cm h","60cm Victoria Warming Drawer, 15cm h"
,Aesthetic,Classic,Classic,Classic,Classic,Linear,Linear,Linear,Victoria,Victoria,Victoria,Victoria
,Feature #1,Classic Canali handle,Push to open,Push to open,Push to open,Push to open,Push to open,Push to open,Push to open,Push to open,Push to open,Push to open
,Feature #2,Deep drawer,,,,,,,,,,
,Feature #3,,,,,,,,,,,
,Feature #4,,,,,,,,,,,
,Feature #5,,,,,,,,,,,
,Finish,Fingerprint proof stainless steel,Fingerprint proof stainless steel,Fingerprint proof stainless steel,Fingerprint proof stainless steel,"Fingerprint proof stainless steel, Stopsol® reflective glass","Fingerprint proof stainless steel, white Stopsol® reflective glass","Fingerprint proof stainless steel, black Stopsol® reflective glass",Panna (cream) enamel ,White enamel ,Black enamel ,Stainless steel
Size,Fascia,597mmW x 287mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 287mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD,597mmW x 127.5mmH x 23mmD
,Drawer,556mmW x 290mmH x 542mmD,556mmW x 136mmH x 538mmD,597mmW x 136mmH x 538mmD,579mmW x 290mmHH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD,556mmW x 136mmH x 538mmD
,Capacity,15kg,15kg,21L/15kg,51L/15kg,45kg maximum,15kg,15kg,45kg maximum,45kg maximum,45kg maximum,45kg maximum
,Installation,"Built-in
Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Classic 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Linear 60cm ovens and Compact ovens","Built-in
Designed to fit beneath Smeg Victoria 60cm and Compact ovens","Built-in
Designed to fit beneath Smeg Victoria 60cm and Compact ovens","Built-in
Designed to fit beneath Smeg Victoria 60cm and Compact ovens","Built-in
Designed to fit beneath Smeg Victoria 60cm and Compact ovens"
,Power supply,"220–240V, 50/60Hz
10A current","220–240V, 50/60Hz
10A current","220–240V, 50/60Hz
2A current","220–240V, 50/60Hz
10A current","220–240V, 50/60Hz
10A current 3-pin plug","220–240V, 50/60Hz
10A current 3-pin plug","220–240V, 50/60Hz
10A current 3-pin plug","10 amp, 3-pin plug","10 amp, 3-pin plug","10 amp, 3-pin plug","10 amp, 3-pin plug"
,Temperature,"Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control","Up to 80ºC, variable temperature control"
,Timer,No,No,No,No,No,n/a,n/a,n/a,n/a,,
,Warranty,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,Two years parts and labour,,
,,,,,,,,,,,,
,Notes,45kg maximum capacity (stacking),45kg maximum capacity (stacking),45kg maximum capacity (stacking),45kg maximum capacity (stacking),,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
